	DesRo_1	DesRo_10	DesRo_11	DesRo_12	DesRo_13	DesRo_14	DesRo_15	DesRo_16	DesRo_17	DesRo_18	DesRo_19	DesRo_2	DesRo_20	DesRo_21	DesRo_22	DesRo_3	DesRo_4	DesRo_5	DesRo_6	DesRo_7	DesRo_8	DesRo_9
DesRo_1	0	0.169865095	0.173186824	0.129355332	0.224261627	0.159446327	0.235504572	0.108528269	0.137502505	0.114142732	0.105327972	0.161559605	0.141762703	0.160558577	0.162762149	0.188734225	0.131046831	0.068402113	0.122279139	0.21369021	0.200517455	0.150231971
DesRo_10	0.169865095	0	0.140611482	0.147585109	0.117656672	0.080174657	0.106570633	0.142236264	0.130877814	0.101253597	0.13804313	0.129861098	0.108962906	0.12446009	0.120961257	0.072764879	0.126729736	0.06671462	0.15015778	0.097950243	0.10469572	0.081647917
DesRo_11	0.173186824	0.140611482	0	0.056940367	0.198152446	0.044048519	0.196298581	0.169654369	0.173433859	0.143467736	0.132097556	0.113459335	0.170382157	0.133370056	0.116680812	0.18515648	0.159289173	0.102287244	0.170127593	0.195567391	0.143384877	0.139351823
DesRo_12	0.129355332	0.147585109	0.056940367	0	0.207810626	0.044779138	0.20402034	0.155807014	0.144561947	0.108519471	0.095275532	0.117746345	0.150920933	0.132197573	0.126478031	0.1877118	0.133029935	0.07204088	0.124958231	0.205765276	0.161760437	0.146597724
DesRo_13	0.224261627	0.117656672	0.198152446	0.207810626	0	0.124470773	0.066082366	0.157525736	0.171980827	0.157066222	0.17929743	0.180632491	0.131952331	0.164505455	0.136688037	0.135863015	0.178134923	0.106282575	0.228954396	0.049706415	0.149960779	0.068222694
DesRo_14	0.159446327	0.080174657	0.044048519	0.044779138	0.124470773	0	0.119203763	0.123541919	0.128814859	0.126743306	0.119246155	0.082278953	0.117104102	0.088926894	0.045894566	0.119251048	0.132261134	0.071922499	0.148636185	0.118987821	0.081325666	0.077140649
DesRo_15	0.235504572	0.106570633	0.196298581	0.20402034	0.066082366	0.119203763	0	0.175863069	0.158525082	0.157787305	0.166019334	0.172578924	0.119855546	0.164889237	0.148552216	0.129765809	0.178746955	0.087098858	0.222981363	0.065572488	0.119830986	0.106652205
DesRo_16	0.108528269	0.142236264	0.169654369	0.155807014	0.157525736	0.123541919	0.175863069	0	0.123221164	0.122039525	0.121405107	0.150017054	0.131887044	0.143874505	0.129330877	0.148984425	0.15238414	0.082746185	0.149218066	0.163876054	0.168965211	0.095572691
DesRo_17	0.137502505	0.130877814	0.173433859	0.144561947	0.171980827	0.128814859	0.158525082	0.123221164	0	0.077536916	0.10248964	0.136579822	0.102432228	0.136564871	0.158553584	0.159461757	0.131905756	0.05982382	0.143171095	0.116853733	0.127616343	0.120602472
DesRo_18	0.114142732	0.101253597	0.143467736	0.108519471	0.157066222	0.126743306	0.157787305	0.122039525	0.077536916	0	0.078136341	0.11483845	0.087508934	0.123229712	0.135499298	0.140535736	0.100708933	0.045903782	0.098556342	0.133606245	0.12290036	0.11924588
DesRo_19	0.105327972	0.13804313	0.132097556	0.095275532	0.17929743	0.119246155	0.166019334	0.121405107	0.10248964	0.078136341	0	0.111516013	0.108521657	0.119624304	0.140693856	0.14665714	0.097541541	0.024064352	0.084469509	0.125963083	0.140232848	0.141665718
DesRo_2	0.161559605	0.129861098	0.113459335	0.117746345	0.180632491	0.082278953	0.172578924	0.150017054	0.136579822	0.11483845	0.111516013	0	0.131106566	0.065475247	0.103993187	0.150709607	0.146965129	0.082355753	0.141927141	0.15751881	0.063994719	0.125439242
DesRo_20	0.141762703	0.108962906	0.170382157	0.150920933	0.131952331	0.117104102	0.119855546	0.131887044	0.102432228	0.087508934	0.108521657	0.131106566	0	0.116576886	0.112468538	0.105987158	0.108355721	0.012299386	0.151435058	0.07203211	0.101499503	0.083958992
DesRo_21	0.160558577	0.12446009	0.133370056	0.132197573	0.164505455	0.088926894	0.164889237	0.143874505	0.136564871	0.123229712	0.119624304	0.065475247	0.116576886	0	0.109974326	0.135059371	0.149962117	0.075713008	0.146954696	0.142603705	0.081520314	0.104861293
DesRo_22	0.162762149	0.120961257	0.116680812	0.126478031	0.136688037	0.045894566	0.148552216	0.129330877	0.158553584	0.135499298	0.140693856	0.103993187	0.112468538	0.109974326	0	0.130950386	0.137992783	0.078717975	0.176831021	0.13277858	0.104869156	0.089809126
DesRo_3	0.188734225	0.072764879	0.18515648	0.1877118	0.135863015	0.119251048	0.129765809	0.148984425	0.159461757	0.140535736	0.14665714	0.150709607	0.105987158	0.135059371	0.130950386	0	0.148076069	0.076953892	0.180578982	0.110070501	0.108424444	0.072734916
DesRo_4	0.131046831	0.126729736	0.159289173	0.133029935	0.178134923	0.132261134	0.178746955	0.15238414	0.131905756	0.100708933	0.097541541	0.146965129	0.108355721	0.149962117	0.137992783	0.148076069	0	0.028913761	0.127026585	0.151768579	0.156901776	0.132523902
DesRo_5	0.068402113	0.06671462	0.102287244	0.07204088	0.106282575	0.071922499	0.087098858	0.082746185	0.05982382	0.045903782	0.024064352	0.082355753	0.012299386	0.075713008	0.078717975	0.076953892	0.028913761	0	0.077317524	0.059634041	0.074478327	0.063179297
DesRo_6	0.122279139	0.15015778	0.170127593	0.124958231	0.228954396	0.148636185	0.222981363	0.149218066	0.143171095	0.098556342	0.084469509	0.141927141	0.151435058	0.146954696	0.176831021	0.180578982	0.127026585	0.077317524	0	0.211065994	0.17097889	0.158675527
DesRo_7	0.21369021	0.097950243	0.195567391	0.205765276	0.049706415	0.118987821	0.065572488	0.163876054	0.116853733	0.133606245	0.125963083	0.15751881	0.07203211	0.142603705	0.13277858	0.110070501	0.151768579	0.059634041	0.211065994	0	0.09533648	0.09356939
DesRo_8	0.200517455	0.10469572	0.143384877	0.161760437	0.149960779	0.081325666	0.119830986	0.168965211	0.127616343	0.12290036	0.140232848	0.063994719	0.101499503	0.081520314	0.104869156	0.108424444	0.156901776	0.074478327	0.17097889	0.09533648	0	0.109536532
DesRo_9	0.150231971	0.081647917	0.139351823	0.146597724	0.068222694	0.077140649	0.106652205	0.095572691	0.120602472	0.11924588	0.141665718	0.125439242	0.083958992	0.104861293	0.089809126	0.072734916	0.132523902	0.063179297	0.158675527	0.09356939	0.109536532	0
