Bat name,Sex,Age,Bands,Other marks
Alana,F,9.141181652,sp-p,ear notch (left)
Beast,F,7.120745212,ps-p,ear notch R
Creep,F,3.291537735,p-p,
Daine,F,4.90812496,p-ps,
Enoby,F,3.875679716,cp-pp,
Frodo,M,2.326604822,pp-pc,skin tag right cheek
Ghost,F,5.692700024,p-pp,
Honey,F,7.31230475,p-x (ear),"Right ear messed up, half gone"
Ichor,F,5.711081488,p-x,Right ear top messed up
Juice,F,7.445545983,p-c,"skin tag right side of nose leaf, L ear notch"
Kazul,F,2.968893464,pp-p,notch at top of L ear
Lurch,F,4.641661149,e-x,2 small notches R ear
Mochi,F,11.18704072,pp-pe,skin tag on L side of mouth
Nymph,F,9.152717163,pp-x,
Occam,F,5.397333807,pc-x,
Quark,F,6.161570089,x-p,
Rouge,F,3.162666243,c-p,"hole in R ear, notch in L ear"
Shego,F,9.309237272,e-pp,
Teeth,F,7.295955242,x-pv,deformation on L side of mouth
Vashu,F,9.491982579,none (wing),Wing Missing
Yikes,F,4.966576185,x-pp,skin tag above nose leaf and L eye
Zubat,F,3.122411281,x-e,
