"Alana" "Beast" "Creep" "Daine" "Enoby" "Frodo" "Ghost" "Honey" "Ichor" "Juice" "Kazul" "Lurch" "Mochi" "Nymph" "Occam" "Quark" "Rouge" "Shego" "Teeth" "Vashu" "Yikes" "Zubat"
"Alana" 0 -0.352827 -0.503312 -0.168785 -0.648166 -0.423847 -0.412943 -0.0660515 -0.280146 -0.309009 -0.468975 -0.684573 -0.160109 -0.644357 -0.528128 -0.380004 -0.251191 -0.231712 -0.288164 -0.856933 -0.0340134 -0.218173
"Beast" -0.352827 0 -0.492483 -0.123155 -0.776848 -0.652175 -0.24242 -0.212152 -0.113011 -0.0731062 -0.744372 -0.501713 -0.247437 -0.464759 -0.52428 -0.417119 -0.297451 -0.31003 -0.200949 -0.969777 -0.310335 -0.286514
"Creep" -0.503312 -0.492483 0 -0.0398816 -0.548962 -0.455033 -0.539003 -0.540699 -0.482251 -0.424346 -0.648247 -0.676444 -0.478238 -0.658071 -0.527811 -0.419171 -0.306448 -0.288342 -0.353945 -0.683809 -0.51876 -0.467024
"Daine" -0.168785 -0.123155 -0.0398816 0 -0.407374 -0.297459 -0.130645 -0.15359 -0.0121605 -0.131317 -0.494302 -0.461586 -0.0373591 -0.377672 -0.340391 -0.122165 -0.0170382 0.0883518 0.171641 -0.452704 -0.158159 -0.168658
"Enoby" -0.648166 -0.776848 -0.548962 -0.407374 0 -0.522281 -0.92628 -0.737834 -0.746233 -0.695067 -0.719738 -0.925649 -0.692025 -0.898088 -0.622193 -0.627765 -0.45962 -0.378312 -0.698202 -0.611069 -0.677792 -0.786076
"Frodo" -0.423847 -0.652175 -0.455033 -0.297459 -0.522281 0 -0.757364 -0.584476 -0.531746 -0.544721 -0.15427 -0.766265 -0.118517 -0.739478 -0.532245 -0.526077 -0.384717 -0.332174 -0.543295 -0.653448 -0.480109 -0.458302
"Ghost" -0.412943 -0.24242 -0.539003 -0.130645 -0.92628 -0.757364 0 -0.193542 -0.208956 -0.202929 -0.820856 -0.137816 -0.296502 -0.164165 -0.601745 -0.298386 -0.335393 -0.308386 -0.131495 -1.0736 -0.363997 -0.308678
"Honey" -0.0660515 -0.212152 -0.540699 -0.15359 -0.737834 -0.584476 -0.193542 0 -0.233749 -0.21934 -0.603588 -0.575553 -0.148037 -0.433863 -0.592617 -0.34495 -0.268164 -0.311718 -0.19396 -0.999921 -0.108318 -0.212932
"Ichor" -0.280146 -0.113011 -0.482251 -0.0121605 -0.746233 -0.531746 -0.208956 -0.233749 0 -0.13078 -0.612784 -0.248131 -0.0403464 -0.390811 -0.352118 -0.338136 -0.249116 -0.30748 -0.124724 -0.829932 -0.237986 -0.156533
"Juice" -0.309009 -0.0731062 -0.424346 -0.131317 -0.695067 -0.544721 -0.202929 -0.21934 -0.13078 0 -0.605626 -0.434406 -0.147031 -0.370863 -0.506653 -0.359839 -0.224187 -0.318746 -0.241542 -0.87341 -0.293805 -0.257651
