"Alana" "Beast" "Creep" "Daine" "Enoby" "Frodo" "Ghost" "Honey" "Ichor" "Juice" "Kazul" "Lurch" "Mochi" "Nymph" "Occam" "Quark" "Rouge" "Shego" "Teeth" "Vashu" "Yikes" "Zubat"
"Alana" 2.2667 -0.133349 -0.123365 -0.106681 -0.064064 -0.0418873 -0.178805 0.173148 -0.111712 -0.123297 0.0245989 -0.191043 -0.00290605 -0.160951 -0.116767 -0.103685 -0.0661155 -0.0376559 -0.112931 -0.112998 0.23387 -0.00711952
"Beast" -0.133349 2.57708 -0.102621 -0.0650779 -0.141002 -0.208056 -0.00298819 -0.0127956 0.0735265 0.163306 -0.170994 -0.0394821 -0.101582 -0.00748637 -0.105629 -0.119609 -0.117995 -0.142471 -0.0475942 -0.169448 -0.101475 -0.0656153
"Creep" -0.123365 -0.102621 2.42988 0.161016 0.039095 -0.0373786 -0.132965 -0.165225 -0.140888 -0.0713019 -0.0965059 -0.169169 -0.150518 -0.157651 -0.0864854 -0.0266236 0.0415092 0.051035 -0.0212274 0.0238283 -0.139483 -0.094272
"Daine" -0.106681 -0.0650779 0.161016 1.23447 -0.0230437 -0.0545879 -0.0381966 -0.105493 -0.108398 -0.082035 -0.129409 -0.143281 -0.130738 -0.0874486 -0.0889885 0.00131842 0.0314737 0.14226 0.237438 0.027648 -0.104836 -0.11003
"Enoby" -0.064064 -0.141002 0.039095 -0.0230437 2.97524 0.0296422 -0.239944 -0.141178 -0.165799 -0.108091 -0.0780055 -0.230439 -0.143613 -0.19866 -0.0285037 -0.0328263 0.0560972 0.142605 -0.129563 0.0820888 -0.0878573 -0.165972
"Frodo" -0.0418873 -0.208056 -0.0373786 -0.0545879 0.0296422 2.65372 -0.279436 -0.178659 -0.148966 -0.142778 0.304498 -0.2318 0.197896 -0.227341 -0.102876 -0.0967088 -0.00815457 0.0272488 -0.145584 0.0111319 -0.0881555 -0.0607915
"Ghost" -0.178805 -0.00298819 -0.132965 -0.0381966 -0.239944 -0.279436 2.11142 0.018374 -0.00821566 0.0118398 -0.221714 0.289217 -0.109962 0.246497 -0.146145 -0.00798386 -0.10037 -0.0737881 0.0674247 -0.224143 -0.12968 -0.0779352
"Honey" 0.173148 -0.0127956 -0.165225 -0.105493 -0.141178 -0.178659 0.018374 2.19106 -0.0811458 -0.0413139 -0.0876369 -0.121273 -0.00241116 -0.018558 -0.170148 -0.0861757 -0.0929298 -0.142795 -0.0462926 -0.215138 0.109179 -0.0183335
"Ichor" -0.111712 0.0735265 -0.140888 -0.108398 -0.165799 -0.148966 -0.00821566 -0.0811458 2.0267 0.0298899 -0.116273 0.142721 -0.0133397 0.0298455 0.023703 -0.0884199 -0.116824 -0.191763 -0.0425915 -0.119345 -0.0811049 0.022108
"Juice" -0.123297 0.163306 -0.0713019 -0.082035 -0.108091 -0.142778 0.0118398 -0.0413139 0.0298899 1.955062 -0.0886404 -0.00712459 0.00744843 0.0271029 -0.0994864 -0.0976518 -0.0496596 -0.148309 -0.0924589 -0.138551 -0.106676 -0.0647833
"Kazul" 0.0245989 -0.170994 -0.0965059 -0.129409 -0.0780055 0.304498 -0.221714 -0.0876369 -0.116273 -0.0886404 2.64324 -0.174242 0.247069 -0.176897 -0.102028 -0.154087 -0.106868 -0.0716323 -0.182074 -0.0888423 -0.0489294 0.0308354
"Lurch" -0.191043 -0.0394821 -0.169169 -0.143281 -0.230439 -0.2318 0.289217 -0.121273 0.142721 -0.00712459 -0.174242 2.75942 -0.076217 0.278284 -0.0405268 -0.1443 -0.139544 -0.191092 -0.090738 -0.204158 -0.149633 -0.0576208
"Mochi" -0.00290605 -0.101582 -0.150518 -0.130738 -0.143613 0.197896 -0.109962 -0.00241116 -0.0133397 0.00744843 0.247069 -0.076217 1.833366 -0.0571675 -0.101636 -0.137425 -0.163758 -0.144407 -0.149473 -0.164989 -0.0313177 0.155866
"Nymph" -0.160951 -0.00748637 -0.157651 -0.0874486 -0.19866 -0.227341 0.246497 -0.018558 0.0298455 0.0271029 -0.176897 0.278284 -0.0571675 2.53068 -0.12832 -0.112927 -0.145473 -0.149619 -0.0386264 -0.227236 -0.144201 -0.0952756
"Occam" -0.116767 -0.105629 -0.0864854 -0.0889885 -0.0285037 -0.102876 -0.146145 -0.170148 0.023703 -0.0994864 -0.102028 -0.0405268 -0.101636 -0.12832 2.82356 -0.00656435 -0.0617416 -0.0515486 -0.104934 0.120717 -0.103153 -0.031781
"Quark" -0.103685 -0.119609 -0.0266236 0.00131842 -0.0328263 -0.0967088 -0.00798386 -0.0861757 -0.0884199 -0.0976518 -0.154087 -0.1443 -0.137425 -0.112927 -0.00656435 2.41184 0.0996638 -0.000361083 -0.0197386 -0.0122065 -0.117311 -0.158105
"Rouge" -0.0661155 -0.117995 0.0415092 0.0314737 0.0560972 -0.00815457 -0.10037 -0.0929298 -0.116824 -0.0496596 -0.106868 -0.139544 -0.163758 -0.145473 -0.0617416 0.0996638 1.968604 0.0431535 -0.00126447 0.0192181 -0.104774 -0.140011
"Shego" -0.0376559 -0.142471 0.051035 0.14226 0.142605 0.0272488 -0.0737881 -0.142795 -0.191763 -0.148309 -0.0716323 -0.191092 -0.144407 -0.149619 -0.0515486 -0.000361083 0.0431535 2.1735 -0.058817 0.0359564 -0.0852951 -0.161213
"Teeth" -0.112931 -0.0475942 -0.0212274 0.237438 -0.129563 -0.145584 0.0674247 -0.0462926 -0.0425915 -0.0924589 -0.182074 -0.090738 -0.149473 -0.0386264 -0.104934 -0.0197386 -0.00126447 -0.058817 1.81393 -0.0662545 -0.0815918 -0.0608232
"Vashu" -0.112998 -0.169448 0.0238283 0.027648 0.0820888 0.0111319 -0.224143 -0.215138 -0.119345 -0.138551 -0.0888423 -0.204158 -0.164989 -0.227236 0.120717 -0.0122065 0.0192181 0.0359564 -0.0662545 3.03308 -0.120302 -0.110222
"Yikes" 0.23387 -0.101475 -0.139483 -0.104836 -0.0878573 -0.0881555 -0.12968 0.109179 -0.0811049 -0.106676 -0.0489294 -0.149633 -0.0313177 -0.144201 -0.103153 -0.117311 -0.104774 -0.0852951 -0.0815918 -0.120302 2.47878 -0.0209456
"Zubat" -0.00711952 -0.0656153 -0.094272 -0.11003 -0.165972 -0.0607915 -0.0779352 -0.0183335 0.022108 -0.0647833 0.0308354 -0.0576208 0.155866 -0.0952756 -0.031781 -0.158105 -0.140011 -0.161213 -0.0608232 -0.110222 -0.0209456 2.11332
